-----------------------------------------------------------
tmp result: mae: 338.679462, cost: 5.5283262074e-03, lambda: 1000.000000, interval: 3.000000
tmp result: mae: 334.596715, cost: 5.4545720337e-03, lambda: 300.000000, interval: 4.000000
tmp result: mae: 334.202405, cost: 5.4545959839e-03, lambda: 1000.000000, interval: 4.000000
tmp result: mae: 335.298457, cost: 5.5851626302e-03, lambda: 300.000000, interval: 5.000000
tmp result: mae: 334.917944, cost: 5.5852425921e-03, lambda: 1000.000000, interval: 5.000000
tmp result: mae: 338.487690, cost: 5.8246246548e-03, lambda: 300.000000, interval: 6.000000
tmp result: mae: 338.116885, cost: 5.8247285111e-03, lambda: 1000.000000, interval: 6.000000
Mae: 397.890738, cost: 6.0924008486e-03, lambda: 300.000000, interval: 4.000000
-----------------------------------------------------------
tmp result: mae: 421.771238, cost: 7.6752240343e-03, lambda: 300.000000, interval: 1.000000
tmp result: mae: 421.533983, cost: 7.6754056945e-03, lambda: 1000.000000, interval: 1.000000
tmp result: mae: 420.875672, cost: 7.6764181423e-03, lambda: 3000.000000, interval: 1.000000
tmp result: mae: 345.377250, cost: 5.7611160543e-03, lambda: 300.000000, interval: 2.000000
tmp result: mae: 345.094349, cost: 5.7613585674e-03, lambda: 1000.000000, interval: 2.000000
tmp result: mae: 344.309627, cost: 5.7626176303e-03, lambda: 3000.000000, interval: 2.000000
tmp result: mae: 339.038094, cost: 5.5282884595e-03, lambda: 300.000000, interval: 3.000000
tmp result: mae: 338.679462, cost: 5.5283262074e-03, lambda: 1000.000000, interval: 3.000000
tmp result: mae: 337.730424, cost: 5.5290294177e-03, lambda: 3000.000000, interval: 3.000000
tmp result: mae: 334.596715, cost: 5.4545720337e-03, lambda: 300.000000, interval: 4.000000
tmp result: mae: 334.202405, cost: 5.4545959839e-03, lambda: 1000.000000, interval: 4.000000
tmp result: mae: 333.153823, cost: 5.4552784608e-03, lambda: 3000.000000, interval: 4.000000
tmp result: mae: 335.298457, cost: 5.5851626302e-03, lambda: 300.000000, interval: 5.000000
tmp result: mae: 334.917944, cost: 5.5852425921e-03, lambda: 1000.000000, interval: 5.000000
tmp result: mae: 333.906263, cost: 5.5860887893e-03, lambda: 3000.000000, interval: 5.000000
tmp result: mae: 338.487690, cost: 5.8246246548e-03, lambda: 300.000000, interval: 6.000000
tmp result: mae: 338.116885, cost: 5.8247285111e-03, lambda: 1000.000000, interval: 6.000000
tmp result: mae: 337.140976, cost: 5.8256450843e-03, lambda: 3000.000000, interval: 6.000000
Mae: 397.890738, cost: 6.0924008486e-03, lambda: 300.000000, interval: 4.000000
